,Cafe_link-href,Adress_clean,lat,lon
0,https://moskvichmag.ru/restorany-i-bary/kefi-na-meste-doma-12-predlagaet-grecheskuyu-edu-ostorozhno-chtoby-ne-trevozhit-prezhnij-duh-mesta/,"г Москва, пер Мансуровский, д 12",55.7406278,37.5928489
1,https://moskvichmag.ru/restorany-i-bary/myst-na-belorusskoj-bar-s-tantsami-vid-na-sad-i-brusketty-s-neglasnym-devizom-um-otest/,"г Москва, ул 1-я Брестская, д 41",55.7732291,37.5875096
2,https://moskvichmag.ru/restorany-i-bary/bistro-ester-na-b-nikitskoj-prevratilos-v-bar-ostaviv-tel-avivskie-nastroeniya-v-ede/,"г Москва, ул Большая Никитская, д 22/2",55.7570144,37.6028697
3,https://moskvichmag.ru/restorany-i-bary/v-abbe-brasserie-na-tsvetnom-podayut-pivo-vafli-i-pochemu-to-humus/,"г Москва, б-р Цветной, д 2",55.7679448,37.6234744
4,https://moskvichmag.ru/restorany-i-bary/v-jane-posle-obnovleniya-menyu-fokachcha-s-pesto-rikottoj-i-tomatami-vyglyadit-kak-puhlyj-flag-italii/,"г Москва, пер Спиридоньевский, д 9 стр 1",55.7624439,37.5941675
5,https://moskvichmag.ru/restorany-i-bary/v-saray-gotovyat-baskskie-i-kavkazskie-blyuda-na-otkrytom-ogne-s-sootvetstvuyushhim-temperamentom/,"г Москва, пер Гранатный, д 19",55.7599528,37.5874042
6,https://moskvichmag.ru/restorany-i-bary/v-soma-na-petrovskom-novyj-shef-i-menyu-prizyvayushhee-ne-propuskat-sezon-inzhira/,"г Москва, б-р Петровский, д 14",55.7671553,37.6198761
8,https://moskvichmag.ru/restorany-i-bary/kafe-alenka-kormit-zavtrakami-zamanivaya-nostalgiruyushhih-po-sssr/,"г Москва, б-р Страстной, д 2",55.765031,37.6070651
9,https://moskvichmag.ru/restorany-i-bary/nuzhno-poobedat-so-vzroslymi-rodstvennikami-italyanskij-capo-na-b-dmitrovke-podojdet-idealno/,"г Москва, ул Дмитровка Б., д 5/6 стр 1",55.7596122,37.6155805
10,https://moskvichmag.ru/restorany-i-bary/olive-s-vodoroslyami-nori-v-novom-menyu-brasserie-lambic-prazdnika-ne-obeshhaet/,"г Москва, б-р Ходынский, д 2",55.7893342,37.5367955
11,https://moskvichmag.ru/restorany-i-bary/pitstsa-schaste-vegana-i-baton-za-13-kop-kak-perezagruzilas-pervaya-bulka-na-b-gruzinskoj/,"г Москва, ул Большая Грузинская, д 69",55.77396,37.586293
12,https://moskvichmag.ru/restorany-i-bary/tartaletka-s-lisichkami-v-atelier-de-tartelettes-nastoyashhaya-poema-pod-nazvaniem-schaste/,"г Москва, пер Спиридоньевский, д 10А стр 1",55.7626113,37.5957369
13,https://moskvichmag.ru/restorany-i-bary/salyut-myasnitskaya-s-peterburgskim-aktsentom-otkrylsya-kogda-moskva-uzhe-naelas-fudkortami/,"г Москва, ул Мясницкая",55.7646478,37.6368848
14,https://moskvichmag.ru/restorany-i-bary/syr-iz-myshelovki-i-skony-s-belym-izyumom-v-semejnom-robine-v-peredelkino-prosto-skazochno/,"г Москва, Внуковское п, п Переделкино, ул Погодина, д 4",55.6554905,37.3304319
15,https://moskvichmag.ru/restorany-i-bary/blizhnij-vostok-queens-okazalsya-patriarshim-blizhe-vegetarianstva-avocado-queen/,"г Москва, ул Бронная М., д 20 стр 1",55.7622734,37.5957688
16,https://moskvichmag.ru/restorany-i-bary/v-layerz-cafe-v-b-kislovskom-dazhe-ponyatnyj-kurinyj-sup-prevrashhen-v-lakomstvo/,"г Москва, пер Большой Кисловский, д 6",55.754458,37.6066955
17,https://moskvichmag.ru/restorany-i-bary/v-pasta-queen-konechno-vse-zakazyvayut-pikkolo-dikkolo-pastu-s-lososem-dlya-vzroslyh/,"г Москва, ул Кузнецкий Мост, д 19 стр 1",55.7625355,37.6257657
18,https://moskvichmag.ru/restorany-i-bary/v-holodke-rakushkam-mollyuskam-ikre-i-rybe-ochen-idut-interery-starogo-doma-na-prechistenke/,"г Москва, ул Пречистенка, д 24/1",55.7417802,37.5936312
19,https://moskvichmag.ru/restorany-i-bary/v-bare-shalyapin-v-lobbi-metropolya-podayut-chaj-s-blinami-ikroj-i-vatrushkami-za-beshenye-dengi/,"г Москва, проезд Театральный, д 2",55.7584522,37.6215872
20,https://moskvichmag.ru/restorany-i-bary/v-kafe-malinovka-v-parke-sokolniki-mozhno-poobedat-morskimi-ezhami-po-300-rublej/,"г Москва, проезд Сокольнического Круга, д 7",55.7948813,37.6788363
23,https://moskvichmag.ru/restorany-i-bary/tost-s-inzhirom-i-bokal-igristogo-zavtraki-v-cutta-cutta-predlagayut-dezhurnyj-nabor-patriarshih/,"г Москва, пер Козихинский Б., д 10",55.7628924,37.597491
24,https://moskvichmag.ru/restorany-i-bary/udivitelno-no-samym-vkusnym-eklerom-v-eklernoj-allo-allo-okazalsya-s-salatom-olive/,"г Москва, Внуковское п, п дск Мичуринец, ул Погодина, д 4",55.6569966,37.3335823
25,https://moskvichmag.ru/restorany-i-bary/futuramen-na-pyatnitskoj-budushhee-tehnologichno-no-priyatno-na-vkus-i-ne-bet-po-koshelku/,"г Москва, ул Пятницкая, д 26",55.7410295,37.6283067
26,https://moskvichmag.ru/restorany-i-bary/germes-predlagaet-blyuda-po-400-rublej-i-etim-vygodno-otlichaetsya-ot-sosedej-po-beloj-ploshhadi/,"г Москва, ул Лесная, д 7",55.7787345,37.5880311
28,https://moskvichmag.ru/restorany-i-bary/esli-najti-reflor-v-chistoprudnyh-dvorah-to-ujti-budet-eshhe-slozhnee-nastolko-tam-horosho/,"г Москва, б-р Чистопрудный, д 23 стр 2",55.7606293,37.6471601
29,https://moskvichmag.ru/restorany-i-bary/iz-za-twin-tigers-chuvstvuesh-sebya-v-depo-kak-na-fudkorte-v-aeroportu-bangkoka/,"г Москва, ул Лесная, д 20 стр 3",55.7801994,37.5929871
